video_id,title,description,channel_id,published_at,category_id,tags,view_count,like_count,comment_count,duration,definition,caption,licensed_content,privacy_status,license,embeddable,public_stats_viewable,is_made_for_kids,thumbnail_url,default_audio_language,default_language,actual_start_time,scheduled_start_time,actual_end_time,scheduled_end_time,concurrent_viewers,active_live_chat_id,recording_date,topicCategories,processing_status,parts_total,parts_processed,time_left_ms,processing_failure_reason
-hhTQHuowK0,Summer Dollar Tree Haul 2,"New summer Dollar Tree haul finds! Watch part 1!

Subscribe to CookieSwirlC for Free  http://bit.ly/1RYkDF6

Official Socials: Twitter, Instagram, and Roblox only.
🍪 Twitter  @CookieSwirlC  
🍪 Roblox Group  Forever Cookie Fans:  
https://www.roblox.com/groups/12537219/Forever-Cookie-Fans#!/store
🍪 Channel VIP: www.youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g/join
🍪Official Roblox Merch: https://www.roblox.com/catalog/?Category=3&Subcategory=3&CreatorName=PlayCookiePlay",UCelMeixAOTs2OQAAi9wU8-g,2025-06-19T18:23:06Z,20,game|gaming|phone|ipad|video|world|story|cookieswirlc|cookie swirl c|vlog|life|haul|dollar tree|shop|shopping|save money,35302,1255,86,PT1M,hd,false,True,public,youtube,True,True,False,https://i.ytimg.com/vi/-hhTQHuowK0/hqdefault.jpg,en,,,,,,,,,https://en.wikipedia.org/wiki/Hobby|https://en.wikipedia.org/wiki/Lifestyle_(sociology),processed,,,,
1iy3x4wMeOI,Summer Dollar Tree Haul 1,"New summer Dollar Tree haul finds! Look out for part 2!

Subscribe to CookieSwirlC for Free  http://bit.ly/1RYkDF6

Official Socials: Twitter, Instagram, and Roblox only.
🍪 Twitter  @CookieSwirlC  
🍪 Roblox Group  Forever Cookie Fans:  
https://www.roblox.com/groups/12537219/Forever-Cookie-Fans#!/store
🍪 Channel VIP: www.youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g/join
🍪Official Roblox Merch: https://www.roblox.com/catalog/?Category=3&Subcategory=3&CreatorName=PlayCookiePlay",UCelMeixAOTs2OQAAi9wU8-g,2025-06-19T04:05:42Z,20,game|gaming|phone|ipad|video|world|story|cookieswirlc|cookie swirl c|vlog|life|haul|dollar tree|shop|shopping|save money,44318,1728,94,PT59S,hd,false,True,public,youtube,True,True,False,https://i.ytimg.com/vi/1iy3x4wMeOI/hqdefault.jpg,en,,,,,,,,,https://en.wikipedia.org/wiki/Hobby|https://en.wikipedia.org/wiki/Lifestyle_(sociology),processed,,,,
