video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,channel_id
1iy3x4wMeOI,UgzRfxSuatbEz9icUcx4AaABAg,@Skincaregurly-t3l,https://yt3.ggpht.com/Tz8pURMdIpPA6xWDWVI8Zo4EKo-DtBnqM95A5a9PBGkAlF__eBsOYjw4Bb2hP5zpKJPpUwBLbw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Skincaregurly-t3l,UCfM-F9byup5KjFUBQbt4dYA,"Such a whirl of memories stepping across this video when I was scrolling, so glad it’s on my FYP",2025-06-19T04:19:37Z,2025-06-19T04:19:37Z,38,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,Ugz0mhgf77mmgfiDYY14AaABAg,@Candii-lovesbunnies,https://yt3.ggpht.com/PqFU_OrQRna2M-etawY-G9EIBxmKQ-JBr9KuJ8o2gW7locWbmnndNMMjSA7xeEDwyScUU_NO=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Candii-lovesbunnies,UCtsZD-rgESiLYVwtbbXDe0w,"I bet you would really like to make kandi bracelets they’re made with pony beads and if you practice enough you can get really good!! You should check it out :3
Love your vids cookie!! 🍪",2025-06-19T04:15:41Z,2025-06-19T04:15:41Z,19,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,UgyiXLCKocV7NzOFaap4AaABAg,@AlaiaBorge,https://yt3.ggpht.com/ytc/AIdro_nmtsXDHjV3vsi3WJxNLeR6_m62bNa4V324lnRtnFy0u-rpS5RDcRIx863T-hajBZ4JOA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@AlaiaBorge,UCrHmXdbwVvJXewUD5_GqhRw,I love this so much 💖💖💖💖,2025-06-19T04:13:29Z,2025-06-19T04:13:29Z,4,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,UgweGIMt4cdcV_OzvU54AaABAg,@princessbellsss,https://yt3.ggpht.com/Mu9JklNt11NSoxpG2iI8RDTG_HLv31sk8tcv0CKHhEWLXjDboQr_fBBI-scxt-3u0m79bUp5Ow=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@princessbellsss,UCuDU-q2oVIEpYzfiDHSZg4Q,love u cookie !! :) so glad to see u still making content. hugs !! 🩷🩷🍪,2025-06-19T04:13:07Z,2025-06-19T04:13:07Z,4,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,Ugy8M1DQ5ImfLekOkkl4AaABAg,@MayaGhannam-e9v,https://yt3.ggpht.com/dvG4q88HQbHlNc6rofb1eFLPOjl_QQ3hAVdenZF9MU0HS6FX-xLEqILKUl36b4ld48S0L3EHPw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MayaGhannam-e9v,UCG1DQYmv8d8ii4ogkWcuUCw,🍪🍪🍪🍪🍪Omg its been so long since ive seen your videos!!i have been watching for 6 years ty!!!❤️🍪🍪🍪🍪,2025-06-19T04:11:28Z,2025-06-19T04:11:28Z,0,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,UgyUtzt9oIRyRXmw05N4AaABAg,@pandaco123,https://yt3.ggpht.com/ymKJFApgslx-UWDi1tKuDD5YBDpn7B1qoN9aaRK6vdCVxNJo7eANXKSv5TVbq2Sdk_kxaYgq99Y=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pandaco123,UCQJ3bSPkiFTHoCg3ziheMXg,I love it,2025-06-19T04:11:10Z,2025-06-19T04:11:10Z,5,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,Ugxclia51G4NaGwOopd4AaABAg,@LocoD829,https://yt3.ggpht.com/ytc/AIdro_lVHx9K7a_ypHKI1Cx2ztPXDOmL0XS6hzHe5Yl14Ko=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@LocoD829,UC8sLI9xqsYGpNuEUP3w6pfw,Keep up the good work cookie! Love your videos!,2025-06-19T04:10:54Z,2025-06-19T04:10:54Z,5,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,UgyiNpsp9kAXxVoEMfp4AaABAg,@rainbowtoyfunrandomess1982,https://yt3.ggpht.com/r-sLr5F3MvdJDjlYrti7zC6jHN5bDA-7rWhpK9q3GyedJG-0afcyM3MA205RYVoxdUaoudWwEg0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rainbowtoyfunrandomess1982,UCrf27UQNysRbJmUfQDwy6jw,Ooooh! Those look amazing! You should totally decorate these patriotic items for the Fourth of July! I also love the rainbow items especially the gummi bears!🇺🇸🌈,2025-06-19T04:10:43Z,2025-06-19T04:11:43Z,8,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,UgxXkonV5tJhOAvDTAB4AaABAg,@Dax20690,https://yt3.ggpht.com/gCAPzfSTXpwZfoguxOfv9wKUueSF80pyA0f2IWFUt3qK4kvpsswd6rNilZ5xwetpI7irTE_x=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Dax20690,UCnnK4v9jDGM3YAxP9ZIbUzw,The sign is so cute I love your videos I’m a big cookie fan 🍪🩷,2025-06-19T04:10:00Z,2025-06-19T04:10:00Z,5,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,UgxUTtr4jBhtOJ202kN4AaABAg,@HuyPham-w7u,https://yt3.ggpht.com/8ltDW7Ap1QfkE2kgQDmegLf6gHH3LnDxSzAtvgwQpBBS1Mnxph5xndCa1lggEPK4tPKbV2OD_g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@HuyPham-w7u,UCV4NYmIaK6NLmYkhx43pU4g,Vhvh,2025-06-19T04:09:45Z,2025-06-19T04:09:45Z,0,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,UgzvM3O2smvQILumdMl4AaABAg,@XjustxavaX3,https://yt3.ggpht.com/TwGr3t_sD0PiSLAsst9Jl6T8PN4GOW4iOpPXrFkfW0CcZS-RRkub4b4VENVxmF_4HszyO-gyxg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@XjustxavaX3,UCTK3Y8yMpeiHUQgpgKYBy0g,Btw cookie I'm a big fan!! 🍪🍪🍪🍪❤️❤️❤️,2025-06-19T04:07:08Z,2025-06-19T04:07:08Z,6,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
1iy3x4wMeOI,UgzwBJvZejDjBwHsHtp4AaABAg,@XjustxavaX3,https://yt3.ggpht.com/TwGr3t_sD0PiSLAsst9Jl6T8PN4GOW4iOpPXrFkfW0CcZS-RRkub4b4VENVxmF_4HszyO-gyxg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@XjustxavaX3,UCTK3Y8yMpeiHUQgpgKYBy0g,Cute!!!!,2025-06-19T04:06:27Z,2025-06-19T04:06:27Z,3,none,True,False,,UCelMeixAOTs2OQAAi9wU8-g
